,WAIC,pWAIC,dWAIC,weight,SE,dSE,var_warn
additive,2860.99,4.51,0.0,0.91,28.04,0.0,0
GLAM,2864.15,5.19,3.15,0.0,28.71,3.07,0
nobias,2923.3,3.2,62.3,0.09,25.39,17.2,0
