,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
additive,1728.8,3.13,0.0,0.67,22.44,0.0,0
multiplicative,1731.17,4.07,2.37,0.33,23.64,5.18,0
nobias,1811.94,2.6,83.14,0.0,21.61,13.74,0
