,WAIC,pWAIC,dWAIC,weight,SE,dSE,var_warn
additive,1715.2,3.37,0.0,0.88,27.86,0.0,0
GLAM,1718.0,3.74,2.8,0.12,28.23,3.86,0
nobias,1813.63,2.88,98.44,0.0,24.62,17.0,0
