,WAIC,pWAIC,dWAIC,weight,SE,dSE,var_warn
GLAM,1888.5,3.62,0.0,0.65,26.45,0.0,0
nobias,1888.93,3.36,0.43,0.35,26.28,2.37,0
additive,1890.74,5.24,2.24,0.0,26.41,1.21,0
