,WAIC,pWAIC,dWAIC,weight,SE,dSE,var_warn
GLAM,1812.51,3.26,0.0,0.65,18.34,0.0,0
nobias,1813.76,2.27,1.25,0.35,18.69,4.06,0
additive,1814.2,3.83,1.69,0.0,18.63,2.87,0
