,WAIC,pWAIC,dWAIC,weight,SE,dSE,var_warn
GLAM,20807.33,4.26,0.0,0.65,104.04,0.0,0
additive,20814.04,4.29,6.71,0.35,103.97,9.62,0
nobias,20990.89,3.57,183.56,0.0,101.59,27.37,0
