,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
multiplicative,1781.53,4.09,0.0,0.16,26.83,0.0,0
additive,1782.23,4.93,0.7,0.49,26.66,3.33,0
nobias,1787.04,2.64,5.51,0.35,26.67,8.72,0
