,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
additive,1662.84,3.58,0.0,0.98,23.7,0.0,0
multiplicative,1665.0,3.61,2.16,0.0,23.92,2.8,0
nobias,1679.15,2.97,16.32,0.02,24.1,8.45,0
