,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
additive,1664.02,7.48,0.0,0.58,24.25,0.0,1
nobias,1664.26,4.18,0.24,0.42,23.45,8.15,0
multiplicative,1664.34,5.12,0.32,0.0,23.61,3.89,0
