,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
additive,1722.48,3.37,0.0,0.56,23.93,0.0,0
multiplicative,1723.32,3.95,0.84,0.39,24.44,4.54,0
nobias,1726.9,2.32,4.42,0.05,23.4,5.01,0
