,WAIC,pWAIC,dWAIC,weight,SE,dSE,var_warn
additive,2717.04,3.7,0.0,1.0,24.84,0.0,0
GLAM,2718.9,3.69,1.85,0.0,25.05,2.66,0
nobias,2804.16,2.54,87.11,0.0,24.29,15.52,0
