,WAIC,pWAIC,dWAIC,weight,SE,dSE,var_warn
GLAM,1764.49,3.44,0.0,0.79,21.09,0.0,0
additive,1765.46,3.58,0.97,0.0,20.86,2.25,0
nobias,1766.73,2.75,2.24,0.21,21.39,4.0,0
