,WAIC,pWAIC,dWAIC,weight,SE,dSE,var_warn
additive,1665.24,3.35,0.0,0.75,21.0,0.0,0
GLAM,1666.96,3.59,1.72,0.25,20.53,3.7,0
nobias,1678.6,2.67,13.36,0.0,21.58,7.08,0
