,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
additive,2721.06,4.02,0.0,1.0,25.58,0.0,0
multiplicative,2737.62,4.58,16.56,0.0,27.03,4.98,0
nobias,2775.59,3.05,54.53,0.0,26.57,14.01,0
