,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
multiplicative,1504.46,4.77,0.0,0.67,28.39,0.0,0
additive,1507.76,4.71,3.3,0.29,28.05,6.86,0
nobias,1569.82,3.09,65.35,0.04,22.48,16.51,0
