,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
additive,20804.64,4.28,0.0,0.83,104.46,0.0,0
multiplicative,20828.92,4.33,24.27,0.17,104.03,12.24,0
nobias,21134.88,3.18,330.24,0.0,99.88,34.81,0
