,WAIC,pWAIC,dWAIC,weight,SE,dSE,var_warn
GLAM,1749.17,4.1,0.0,0.56,24.39,0.0,1
additive,1750.02,3.3,0.85,0.44,24.93,5.18,0
nobias,1763.36,2.87,14.19,0.0,24.97,6.94,0
