,WAIC,pWAIC,dWAIC,weight,SE,dSE,var_warn
additive,1841.25,3.75,0.0,0.9,23.73,0.0,0
multiplicative,1841.6,3.59,0.35,0.0,23.96,1.33,0
nobias,1849.5,2.61,8.24,0.1,23.39,6.55,0
