,WAIC,pWAIC,dWAIC,weight,SE,dSE,var_warn
GLAM,1695.73,3.66,0.0,0.77,21.83,0.0,0
additive,1697.32,3.5,1.6,0.14,22.08,3.64,0
nobias,1704.87,2.26,9.15,0.09,21.82,6.79,0
