,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
multiplicative,1540.88,3.75,0.0,0.72,20.45,0.0,0
additive,1542.15,3.75,1.27,0.0,20.26,1.66,0
nobias,1542.17,2.9,1.3,0.28,20.15,3.49,0
