,WAIC,pWAIC,dWAIC,weight,SE,dSE,var_warn
GLAM,1672.39,3.82,0.0,1.0,26.37,0.0,0
additive,1675.55,4.05,3.16,0.0,26.32,1.79,0
nobias,1681.94,3.16,9.55,0.0,25.63,5.75,0
