,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
multiplicative,1695.75,3.67,0.0,0.72,21.83,0.0,0
additive,1697.08,3.22,1.33,0.2,22.07,3.66,0
nobias,1704.87,2.26,9.13,0.07,21.82,6.79,0
