,b,p_error,v__0_0,gamma__0_0,s__0_0,tau__0_0,t0__0_0
0,1.0,0.05,7.189487004618766e-05,0.9082437562083072,0.010626208557395085,0.5067791606095805,0.0
1,1.0,0.05,6.923207884285545e-05,0.0033899595619288903,0.01175656159512664,0.4145678317344341,0.0
2,1.0,0.05,7.975485689733566e-05,-0.7321591436247132,0.009182714417701281,0.3270717972276631,0.0
3,1.0,0.05,8.431489498528267e-05,-0.2323382898162123,0.010061546837641063,0.38355631731719797,0.0
4,1.0,0.05,8.905338148601396e-05,-0.8799439717855648,0.008982282144117473,0.28818010634789637,0.0
5,1.0,0.05,5.0168951476658385e-05,1.7080733668362313,0.014204516343503178,1.4669495489916224,0.0
6,1.0,0.05,5.654380054105297e-05,1.454591740189585,0.012818416393724634,1.185065403013875,0.0
7,1.0,0.05,7.426316771701752e-05,-0.4887291151690789,0.01071606986221245,0.45905291753186284,0.0
8,1.0,0.05,8.33900793636443e-05,0.3419000052590633,0.011202467115347649,0.3449789995271261,0.0
9,1.0,0.05,7.019317279558288e-05,2.5170815375644224,0.011681400889154194,0.32694856275966405,0.0
10,1.0,0.05,7.039373500744163e-05,1.3562691770847408,0.011374281109759063,0.5425569327490941,0.0
11,1.0,0.05,6.987532308636597e-05,0.8040641672640021,0.011052220164691016,0.42653617061055554,0.0
12,1.0,0.05,7.073462684769436e-05,1.4668471781313457,0.011758476021271991,0.590263626929173,0.0
13,1.0,0.05,7.158143697404244e-05,0.7331777900408127,0.011725632777240303,0.5108930514540492,0.0
14,1.0,0.05,7.978432985261807e-05,-0.5329047861008576,0.010207442545626276,0.32045212939946677,0.0
15,1.0,0.05,8.09164050357698e-05,1.0665698138770665,0.010261453371724833,0.3764514201871508,0.0
16,1.0,0.05,7.826315368426135e-05,2.5004461490690346,0.010429830001397146,0.3650828532730352,0.0
17,1.0,0.05,8.497210144997793e-05,-1.3554469046272715,0.011351083400352669,0.5739054926555156,0.0
18,1.0,0.05,6.1032195405680936e-05,0.3932688229251795,0.010221607823098297,0.5532405674561927,0.0
19,1.0,0.05,6.619251299607398e-05,1.0603194523055635,0.011267413148107064,0.5488460677806086,0.0
20,1.0,0.05,7.595120258020926e-05,0.013020596985441557,0.009290024609093634,0.44119474665634767,0.0
21,1.0,0.05,8.406710036368471e-05,0.4284101121343298,0.011058823201136119,0.3354281929684944,0.0
22,1.0,0.05,7.380508037769543e-05,-0.8153832972953126,0.009761934406359125,0.47548947155329097,0.0
23,1.0,0.05,8.434972723805569e-05,0.3547688617060487,0.010666359431716718,0.3606024688825857,0.0
24,1.0,0.05,7.631315634767104e-05,-0.20262877400328705,0.009754934778911616,0.3912800299520698,0.0
25,1.0,0.05,7.751243009323762e-05,0.7372006724767317,0.010761013052512897,0.35028387438893277,0.0
26,1.0,0.05,7.303905649488011e-05,0.6209088478314868,0.01108988229203766,0.4865846390477096,0.0
