,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat,MAP
b,1.0,0.0,0.0,1.0,1.0,,,
p_error,0.05000000819563866,7.450580596923828e-09,1.4901161193847657e-09,0.05000000074505806,0.05000000074505806,1.0007506866324938,0.9997499687421851,
v__0_0,5.442115366627822e-05,5.108831424211941e-06,1.0126970241079463e-07,4.4173870513945046e-05,6.415622638665077e-05,2423.3477490658006,0.9997587786294196,5.4e-05
gamma__0_0,0.10130991286517617,0.87700555431368,0.016452095722686,-1.6363942042201813,1.7536874633485695,2753.642474994551,0.9997883091808362,-0.09
s__0_0,0.009576491048575799,0.0007948561908479753,1.6089998012121e-05,0.00801607946839914,0.011142257162265653,2437.2484443163885,1.000426648822359,0.008914
tau__0_0,0.7500632675960747,0.2826244558944629,0.005849568039875258,0.34010450414194915,1.2428330323165633,2018.6973377291497,1.0004367412517148,0.63
t0__0_0,0.0,0.0,0.0,0.0,0.0,,,
