,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat,MAP
b,1.0,0.0,0.0,1.0,1.0,,,
p_error,0.05000000447034836,3.725290298461914e-09,7.450580596923829e-10,0.05000000074505806,0.05000000074505806,1.0001503703406758,0.9999499987499374,
v__0_0,0.00015806886744015874,4.14089657100036e-06,1.5351964205055838e-07,0.0001505309960829667,0.00016623723468355554,795.4954170201917,1.0000847567665183,0.000159
gamma__0_0,9.638013356368523,1.828209920798565,0.07227058671790138,6.300678821255374,13.206477912338912,615.1398015581154,1.0002104423771714,8.81
s__0_0,0.005731273324242197,0.00037428781544435977,1.0421441742921917e-05,0.005006372046090402,0.006428842647510397,1315.35019301098,1.0000408124861124,0.005544
tau__0_0,0.128013255159991,0.019595048638506946,0.0008572196052309088,0.09048259463248917,0.16555612393317276,582.0526144226233,0.9999682378673874,0.13
t0__0_0,0.0,0.0,0.0,0.0,0.0,,,
