,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat,MAP
b,1.0,0.0,0.0,1.0,1.0,,,
p_error,0.05000000819563866,7.450580596923828e-09,1.4901161193847657e-09,0.05000000074505806,0.05000000074505806,1.0007506866324938,0.9997499687421851,
v__0_0,0.00010366202417035692,1.978800389602939e-06,3.921996269484312e-08,9.992429998108143e-05,0.00010762907138411343,2469.9059868128807,1.0010941002129496,0.000104
gamma__0_0,3.716193446637022,0.6111934205747968,0.010423782358859952,2.4684975690617534,4.869408962515976,3306.1047965662974,0.9997635714968973,3.55
s__0_0,0.010216561306646369,0.00022229595036809635,4.246385591546824e-06,0.009803966002519008,0.010668488910678172,2619.9855496761493,1.000524468405425,0.010129
tau__0_0,0.21213099116925885,0.014940741388969376,0.0002890321705005192,0.18349570948964833,0.24091440722215512,2573.3567632028867,1.0007735103559645,0.21
t0__0_0,0.0,0.0,0.0,0.0,0.0,,,
