,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat,MAP
b,1.0,0.0,0.0,1.0,1.0,,,
p_error,0.05000000447034836,3.725290298461914e-09,7.450580596923829e-10,0.05000000074505806,0.05000000074505806,1.0001503703406758,0.9999499987499374,
v__0_0,0.00012718354409816583,5.551683802500743e-06,2.3311050112432736e-07,0.00011707723650183246,0.0001384656847368472,423.00695821936586,1.000697161219696,0.000129
gamma__0_0,3.3868772334457695,1.1488446206232878,0.025918933690632313,1.178235836280738,5.677282240499421,2363.805530544488,1.0000899640383434,3.61
s__0_0,0.006941922404725173,0.0006052319974732135,1.8559503208652674e-05,0.00578381616011019,0.008074441230695697,908.5777697455636,0.9999538567672676,0.00735
tau__0_0,0.23615419175914582,0.05134743315848418,0.002038089209200295,0.14155110339128063,0.3377771409158732,500.48977247147025,1.0008127420689672,0.23
t0__0_0,0.0,0.0,0.0,0.0,0.0,,,
