,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat,MAP
b,1.0,0.0,0.0,1.0,1.0,,,
p_error,0.05000000819563866,7.450580596923828e-09,1.4901161193847657e-09,0.05000000074505806,0.05000000074505806,1.0007506866324938,0.9997499687421851,
v__0_0,9.25765053231796e-05,6.480429775398409e-06,1.5299330127869709e-07,8.06616089924096e-05,0.00010604851245314251,1790.0251443083223,0.9998497138735817,9.1e-05
gamma__0_0,0.47807590022031693,0.6523211446465452,0.013633216120001814,-0.7803352680945466,1.7874301504258625,2586.962446335434,1.000012600015283,0.56
s__0_0,0.007922867834452594,0.0008117756688087484,1.6158117853328916e-05,0.006384469540497342,0.009533666630336328,2425.82678414965,1.0004912462001627,0.005877
tau__0_0,0.4074226666037549,0.1141964911009911,0.0025765558196931514,0.19873374546039224,0.6270458149603514,1881.4980246884422,0.9997905833842486,0.37
t0__0_0,0.0,0.0,0.0,0.0,0.0,,,
