,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat,MAP
b,1.0,0.0,0.0,1.0,1.0,,,
p_error,0.05000000819563866,7.450580596923828e-09,1.4901161193847657e-09,0.05000000074505806,0.05000000074505806,1.0007506866324938,0.9997499687421851,
v__0_0,5.6258393067794285e-05,1.1858318440569287e-05,4.913845271098477e-07,3.354026368998693e-05,7.832843764514861e-05,414.91832328357793,1.0010045860037773,6e-05
gamma__0_0,-13.920701381250021,15.478690159996441,0.7077440234732253,-54.93794935822669,2.2654408176751275,372.743792204966,1.002039885640345,-6.87
s__0_0,0.011927681160431719,0.0007734566140828836,3.6484247243970765e-05,0.010483302098527665,0.013470306515046666,181.20865608034816,1.0000679530000351,0.011142
tau__0_0,0.1720480936855992,0.09326523231563522,0.004699373324793648,0.00014819790771664418,0.32708027700858977,267.99490250454664,1.0003231426089603,0.26
t0__0_0,0.0,0.0,0.0,0.0,0.0,,,
