,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat,MAP
b,1.0,0.0,0.0,1.0,1.0,,,
p_error,0.05000000819563866,7.450580596923828e-09,1.4901161193847657e-09,0.05000000074505806,0.05000000074505806,1.0007506866324938,0.9997499687421851,
v__0_0,0.00010354150193246234,1.7586407808538885e-06,3.546439460646439e-08,0.00010014625922914126,0.00010696009513603001,2540.791031709105,1.000455360218969,0.000104
gamma__0_0,5.530323754288251,0.6506471116101675,0.00988367358380957,4.282349714096355,6.826598610034125,3248.6218936780947,0.999859741233191,5.26
s__0_0,0.009381915950145373,0.00019328054697724683,3.679734740998581e-06,0.008984127050731502,0.009739203245030918,2647.752900280844,0.9997567093923259,0.009408
tau__0_0,0.227753848364409,0.014315963278640893,0.000273719290267802,0.20092117010295688,0.2566375974806791,2473.218751696228,1.0005326268015766,0.23
t0__0_0,0.0,0.0,0.0,0.0,0.0,,,
