,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat,MAP,generating
b,1.0,0.0,0.0,1.0,1.0,,,,
p_error,0.05000000447034836,3.725290298461914e-09,7.450580596923829e-10,0.05000000074505806,0.05000000074505806,1.0001503703406758,0.9999499987499374,,
v__0_0,0.0001297951791634007,4.448143268918102e-06,2.1550257307877563e-07,0.00012065517663821475,0.00013766816386660114,342.89063837849943,1.0022041683251763,0.000131,0.00011999999999999999
gamma__0_0,-0.09153479371016071,0.06640690038054907,0.0014846349973329936,-0.2200695531447927,0.0437087812015271,1526.0532331311124,1.0001421160363346,-0.11,0.02
s__0_0,0.006128430791831929,0.0004949559030513859,1.82932933447108e-05,0.005284017742437972,0.007162062238732079,573.0649824572125,0.9999713986790872,0.005945,0.007078
tau__0_0,0.40735075059969633,0.0679124282051243,0.0027633170243826946,0.28713939570329144,0.5449682417731093,487.18957190212683,1.0017660889791715,0.38,0.35
t0__0_0,0.0,0.0,0.0,0.0,0.0,,,,
