,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat,MAP,generating
b,1.0,0.0,0.0,1.0,1.0,,,,
p_error,0.05000000819563866,7.450580596923828e-09,1.4901161193847657e-09,0.05000000074505806,0.05000000074505806,1.0007506866324938,0.9997499687421851,,
v__0_0,7.074172770525066e-05,4.736983417313705e-06,1.2955352478289814e-07,6.166941352554246e-05,7.962937559035633e-05,1365.5786784836027,1.000252572452164,7.1e-05,6.3e-05
gamma__0_0,0.4581123931028525,0.11496755907941551,0.0024993520125746573,0.24143148702234996,0.6921965002793566,2086.8333181673006,1.0015383217458995,0.44,0.41
s__0_0,0.007267004373480733,0.0005752196464306486,1.4679552176071566e-05,0.006148611141691153,0.0083606915433649,1611.1040383762293,1.0000563588481157,0.006884,0.007428
tau__0_0,0.6308052966962,0.224647147399001,0.006287810620852487,0.27199893741791975,1.0575341839710322,1310.3983880593682,1.000513194538808,0.5,0.66
t0__0_0,0.0,0.0,0.0,0.0,0.0,,,,
