,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat,MAP,generating
b,1.0,0.0,0.0,1.0,1.0,,,,
p_error,0.05000000819563866,7.450580596923828e-09,1.4901161193847657e-09,0.05000000074505806,0.05000000074505806,1.0007506866324938,0.9997499687421851,,
v__0_0,7.53697010921989e-05,7.911788525975796e-06,1.7206111320409273e-07,6.023505509768554e-05,9.078545479201147e-05,1977.152247727693,1.0021967870858473,7.5e-05,8.8e-05
gamma__0_0,0.08055977686870605,0.1724244214628576,0.0037991475796044167,-0.28033752355240615,0.4044271273531663,2632.3683712378233,1.0003823846806517,0.12,0.13
s__0_0,0.012831128473866311,0.0012144506328997094,2.643603741151906e-05,0.01060273370395658,0.015286984131632887,2074.3330496602453,1.0001713815561761,0.011507,0.011201000000000001
tau__0_0,1.4353219544636926,0.8741381291671523,0.021600778763506513,0.32580258004637536,3.443086439460137,1369.0596592635607,1.002654175560666,0.91,0.6
t0__0_0,0.0,0.0,0.0,0.0,0.0,,,,
