,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat,MAP
b,1.0,0.0,0.0,1.0,1.0,,,
p_error,0.05000000447034836,3.725290298461914e-09,7.450580596923829e-10,0.05000000074505806,0.05000000074505806,1.0001503703406758,0.9999499987499374,
v__0_0,0.00013227406859009624,5.28836997424871e-06,2.507952907227626e-07,0.00012195695231643164,0.0001423121380051643,431.4697886504418,1.0001481119884426,0.000134
gamma__0_0,1.0,0.0,0.0,1.0,1.0,,,
s__0_0,0.00662101303266833,0.000600889625353741,2.166078566358167e-05,0.005607708155642502,0.007771066058132653,698.4178733005729,0.999961025879896,0.006068
tau__0_0,0.21212864990436428,0.042455560280352134,0.0016991400587723574,0.13788010454349628,0.30218597850824774,587.6637017616158,1.0001982989947598,0.21
t0__0_0,0.0,0.0,0.0,0.0,0.0,,,
