,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat,MAP
b,1.0,0.0,0.0,1.0,1.0,,,
p_error,0.05000000447034836,3.725290298461914e-09,7.450580596923829e-10,0.05000000074505806,0.05000000074505806,1.0001503703406758,0.9999499987499374,
v__0_0,6.134613369346512e-05,5.387629621103221e-06,1.824101250654881e-07,5.098460194106389e-05,7.187589505214228e-05,714.2294640687076,1.0072880443241903,6.2e-05
gamma__0_0,1.0,0.0,0.0,1.0,1.0,,,
s__0_0,0.010561727871292082,0.00076519745454754,2.2040214212141846e-05,0.009116477757635922,0.01208692193104652,1049.5673907085877,1.005294856617931,0.010903
tau__0_0,0.49823893033505895,0.15761231901017836,0.004188950815680072,0.23101771025853807,0.8146659501787903,1202.4670124548027,1.0028143123572877,0.47
t0__0_0,0.0,0.0,0.0,0.0,0.0,,,
