,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat,MAP
b,1.0,0.0,0.0,1.0,1.0,,,
p_error,0.05000000819563866,7.450580596923828e-09,1.4901161193847657e-09,0.05000000074505806,0.05000000074505806,1.0007506866324938,0.9997499687421851,
v__0_0,5.9434045144414554e-05,2.305857137949611e-06,4.440966251412519e-08,5.5134575847574524e-05,6.41536421609683e-05,2439.4703258203635,1.00040690365875,5.9e-05
gamma__0_0,8.424379438684166,1.3279848958494531,0.021417815005635173,5.7889850380997245,10.99979097961122,3215.2418929129376,0.9998668035606864,7.96
s__0_0,0.012626136517335358,0.000362824267153258,7.0274611894324296e-06,0.01192637418741366,0.013356042956957307,2650.6267429905347,0.9998241160117757,0.01258
tau__0_0,0.41113767502932635,0.05347353741180411,0.000984221640757882,0.3198282034472195,0.5230354492437432,2525.7331751331476,1.0007130740406252,0.42
t0__0_0,0.0,0.0,0.0,0.0,0.0,,,
