,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat,MAP
b,1.0,0.0,0.0,1.0,1.0,,,
p_error,0.05000000819563866,7.450580596923828e-09,1.4901161193847657e-09,0.05000000074505806,0.05000000074505806,1.0007506866324938,0.9997499687421851,
v__0_0,6.775386130731665e-05,6.802689643119576e-06,1.4043211894970533e-07,5.351878042393624e-05,8.025589173580753e-05,2116.252158569329,0.9998723688971299,6.9e-05
gamma__0_0,1.6667167916339682,2.153109837739573,0.0402281293749766,-2.143034718336054,5.754209199420401,2402.1831046478023,0.9999872130019041,0.91
s__0_0,0.008859851520185359,0.0010134163111681035,2.150179381406845e-05,0.006919816961365745,0.01078138917195482,2138.068782664645,1.0006594951110288,0.008934
tau__0_0,0.524477742545862,0.2420841415932528,0.00756250392721638,0.20816675420434622,0.9401978767322647,1157.8322232812036,1.000181917242221,0.42
t0__0_0,0.0,0.0,0.0,0.0,0.0,,,
