,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat,MAP
b,1.0,0.0,0.0,1.0,1.0,,,
p_error,0.05000000819563866,7.450580596923828e-09,1.4901161193847657e-09,0.05000000074505806,0.05000000074505806,1.0007506866324938,0.9997499687421851,
v__0_0,3.697435989812278e-05,3.950814473324e-06,8.84907706052407e-08,2.905654747056123e-05,4.4661522662914865e-05,1824.0486826702584,1.0001526584007328,3.7e-05
gamma__0_0,-0.4565665185862312,0.1267144457545007,0.0024500689425553607,-0.6971739086549995,-0.1845578600565716,2259.3483555622765,0.9999261415482208,-0.45
s__0_0,0.008446668791832148,0.0006536535661447823,1.3119545362988585e-05,0.007244986872521122,0.009776352706013503,2103.2104171824158,0.9999648864968832,0.008145
tau__0_0,1.2522937132086602,0.4353890676201241,0.01103743964455561,0.559444388320327,2.1080033377756404,1752.6911521979937,0.9997837619184535,1.15
t0__0_0,0.0,0.0,0.0,0.0,0.0,,,
