,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat,MAP
b,1.0,0.0,0.0,1.0,1.0,,,
p_error,0.05000000819563866,7.450580596923828e-09,1.4901161193847657e-09,0.05000000074505806,0.05000000074505806,1.0007506866324938,0.9997499687421851,
v__0_0,0.00012926777332595662,3.542437066166846e-06,6.896031733719667e-08,0.00012244423728502112,0.0001359479214608439,2289.901244829404,0.9999656183709869,0.000129
gamma__0_0,0.0716832884755253,0.07113941287053395,0.001380967000915468,-0.06413864453248941,0.20689745779186097,2933.504675924628,1.000506404833178,0.05
s__0_0,0.011275854545511685,0.00037494569392474244,7.343541369427754e-06,0.010566113795155327,0.012031095925302444,2799.7366761039493,0.9997955497286779,0.011221
tau__0_0,0.26548676887616446,0.027105057201864322,0.0005969542478949951,0.21633939828358292,0.31789470957816357,2106.522463982153,0.9998222485586865,0.26
t0__0_0,0.0,0.0,0.0,0.0,0.0,,,
