,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat,MAP
b,1.0,0.0,0.0,1.0,1.0,,,
p_error,0.05000000819563866,7.450580596923828e-09,1.4901161193847657e-09,0.05000000074505806,0.05000000074505806,1.0007506866324938,0.9997499687421851,
v__0_0,6.428486872427064e-05,8.021987632247382e-06,2.1219593086144867e-07,4.834017124448625e-05,7.998839379553395e-05,1359.998990522361,1.0012061952523001,6.5e-05
gamma__0_0,0.7655352344024103,0.1127758128820296,0.0026610776335057418,0.5567114239561697,0.977230651476118,1704.4864553293962,0.9997505131376944,0.78
s__0_0,0.009722622657618663,0.0011617709076175576,2.9346871877507833e-05,0.0075302513462096295,0.011986850161935248,1475.7749728223005,1.0004024859569545,0.008528
tau__0_0,1.0976542411665557,0.6558632270468948,0.024380208157471755,0.36123714250480327,2.3460492863557207,739.0818993902119,0.9997589716648857,0.78
t0__0_0,0.0,0.0,0.0,0.0,0.0,,,
