,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat,MAP
b,1.0,0.0,0.0,1.0,1.0,,,
p_error,0.05000000819563866,7.450580596923828e-09,1.4901161193847657e-09,0.05000000074505806,0.05000000074505806,1.0007506866324938,0.9997499687421851,
v__0_0,2.1319064958915122e-05,2.1230890425176387e-06,5.28009255743794e-08,1.7277149654819577e-05,2.5338835462346708e-05,1576.6140827457264,0.9997661408456303,2.2e-05
gamma__0_0,0.404611670339779,0.16778879321295148,0.004713491190507959,0.11745965929796576,0.7634596024299896,1045.2869067060947,1.0008159061601583,0.33
s__0_0,0.005850022602031197,0.000628674031321989,1.4964045880098612e-05,0.004692594830485008,0.007108956352788801,1510.2876249625388,0.9997556382013201,0.005585
tau__0_0,0.7443966766484172,0.2908807927198612,0.008346979488513989,0.27699969602397884,1.2874352475044406,1189.4228477475629,0.9997781505353376,0.57
t0__0_0,0.0,0.0,0.0,0.0,0.0,,,
