,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat,MAP
b,1.0,0.0,0.0,1.0,1.0,,,
p_error,0.05000000819563866,7.450580596923828e-09,1.4901161193847657e-09,0.05000000074505806,0.05000000074505806,1.0007506866324938,0.9997499687421851,
v__0_0,5.304728321291781e-05,6.0283152455166576e-06,1.3753251039376726e-07,4.0805654045493444e-05,6.432095722109859e-05,1916.175407236579,1.0007726963842385,5.4e-05
gamma__0_0,0.8337737824152215,0.10790218211432832,0.0023804576971332503,0.6348960439462132,0.9995978756062698,1856.74948518955,0.9998698649715784,0.93
s__0_0,0.010182587162987651,0.0010934159406067565,2.2445078790043594e-05,0.008222002103717227,0.012481078616798142,2174.584593913121,0.9997779871856792,0.008941
tau__0_0,1.4785876246334155,0.7573747418532608,0.025948359875132766,0.4802808580128506,3.237976995398448,786.2235835272786,1.0005022537287047,1.02
t0__0_0,0.0,0.0,0.0,0.0,0.0,,,
