,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat,MAP
b,1.0,0.0,0.0,1.0,1.0,,,
p_error,0.05000000819563866,7.450580596923828e-09,1.4901161193847657e-09,0.05000000074505806,0.05000000074505806,1.0007506866324938,0.9997499687421851,
v__0_0,0.0001234766024184048,3.832265873411877e-06,6.832730549243434e-08,0.00011615707210038832,0.0001313297150142193,2286.6355235136957,0.9997901216003547,0.000123
gamma__0_0,0.41087882203379583,0.06338781147934801,0.0012380977942378015,0.28031124301874755,0.5229462585951943,2930.9187520639116,1.0001152505868507,0.4
s__0_0,0.01100985042046609,0.00039183722499770246,6.797679274703805e-06,0.010270042382259323,0.011789233288314308,2653.7483548673663,0.9997525161558894,0.0111
tau__0_0,0.1925553112455856,0.023099606656610476,0.00040271365699142667,0.14901007374513067,0.23851885725294383,2367.2064194069976,0.9998066235505065,0.2
t0__0_0,0.0,0.0,0.0,0.0,0.0,,,
