,b,p_error,v__0_0,gamma__0_0,s__0_0,tau__0_0,t0__0_0
0,1.0,0.05,6.820867130565448e-05,0.959150227931568,0.012652471981341812,0.9210641875449057,0.0
1,1.0,0.05,7.164075847159418e-05,0.6785458279534335,0.011359653946235025,0.7026391615835257,0.0
2,1.0,0.05,8.513872515507242e-05,0.9545377697675246,0.010661015872510823,0.7031646164487053,0.0
3,1.0,0.05,8.33557584656885e-05,0.9694313778494816,0.010368642793968248,0.4949950356262043,0.0
4,1.0,0.05,7.932892754703458e-05,0.9599366676415109,0.010791503805246211,0.6906550705257115,0.0
5,1.0,0.05,8.509261056103266e-05,0.9483405185250966,0.010853289061206839,0.6585978915216342,0.0
6,1.0,0.05,8.445076527962762e-05,0.9077140532483998,0.010875955147446208,0.7485138828907462,0.0
7,1.0,0.05,7.363596920329581e-05,0.8783122489669672,0.012683310190435348,0.6414571945904162,0.0
8,1.0,0.05,8.523848698910037e-05,0.9491289321462286,0.009706410490396656,0.3778594063045255,0.0
9,1.0,0.05,7.709734111776726e-05,0.8428244214704801,0.010857430172092977,0.9165964062849219,0.0
10,1.0,0.05,7.876962340836733e-05,0.7140806694192481,0.012224122746811637,0.8768307952163807,0.0
11,1.0,0.05,7.422949659605212e-05,0.7586379808719474,0.010369489294843447,1.0387679691758516,0.0
12,1.0,0.05,8.792165319807678e-05,0.9290775220384813,0.009340868260101345,0.40408487579514096,0.0
13,1.0,0.05,8.324685933880012e-05,0.8263767976891128,0.011184827612705516,0.6483001300153751,0.0
14,1.0,0.05,8.352414696070678e-05,0.779393099293916,0.010247955367053115,0.8134172172697953,0.0
15,1.0,0.05,8.236646695654333e-05,0.8930422160999818,0.011247441883949194,0.7902424247332083,0.0
16,1.0,0.05,8.598503859238645e-05,0.9308210587150754,0.012294294681620303,0.8401439309591124,0.0
17,1.0,0.05,5.934314372274151e-05,0.6832836820608499,0.01433899336337965,0.8861086334716994,0.0
18,1.0,0.05,8.71900929915515e-05,0.9924632459394331,0.009191177607102202,0.6693501667067453,0.0
19,1.0,0.05,8.703917426542389e-05,0.9788238495103343,0.01079881592272755,0.7684955753505102,0.0
20,1.0,0.05,8.932809494849494e-05,0.9796309159783636,0.010242486528578506,0.36826183429553927,0.0
21,1.0,0.05,9.3214623881546e-05,0.9659305600149093,0.009682872359141517,0.5626137394041628,0.0
22,1.0,0.05,8.945933630337966e-05,0.9699288806756403,0.008686501914706385,0.46043833715649796,0.0
23,1.0,0.05,8.434885185146839e-05,0.9672301135336756,0.009488828946904034,0.6632448525016901,0.0
24,1.0,0.05,8.696110504644058e-05,0.9916877913793627,0.008648868578445738,0.4283741224226204,0.0
25,1.0,0.05,8.783031374977276e-05,0.9765314988014264,0.01159049359653263,0.5949170169284828,0.0
26,1.0,0.05,8.769961366894718e-05,0.9698993248804761,0.008227743916375764,0.8704138340497449,0.0
27,1.0,0.05,7.32398691150224e-05,0.6760879968086098,0.016772866672416398,0.8191184480102864,0.0
28,1.0,0.05,6.658117366793807e-05,0.5582294133830903,0.012748858799047589,1.567118421574151,0.0
29,1.0,0.05,8.949217909002748e-05,0.8539174024856973,0.009942252851041502,0.36863012355356695,0.0
30,1.0,0.05,9.140501123624954e-05,0.8185638709374654,0.009714049781157514,0.5667175343428145,0.0
31,1.0,0.05,7.003456555808004e-05,0.6301688184134626,0.013613208319009402,0.7732474577759931,0.0
32,1.0,0.05,7.169540789274051e-05,0.7497234661217256,0.01095593778343494,1.0244909481248905,0.0
33,1.0,0.05,8.51981420265142e-05,0.8426105571578315,0.010396946539541731,0.40215365143254383,0.0
34,1.0,0.05,8.584324387140693e-05,0.986149733970759,0.009413792746831804,0.81785190992395,0.0
35,1.0,0.05,7.229339975496773e-05,0.9551230668165047,0.012084241056448959,0.48064981570550125,0.0
36,1.0,0.05,8.436469719063359e-05,0.8845028326434008,0.01146829513523955,0.6746992916510365,0.0
37,1.0,0.05,8.067134899804131e-05,0.7705159824438681,0.009852166864642634,0.5617993431056454,0.0
38,1.0,0.05,7.468334464053631e-05,0.7468718827973433,0.012454186216743516,0.9499722493634701,0.0
39,1.0,0.05,0.00010042291873930474,0.9066464426075775,0.009331009009680513,0.44216666549250544,0.0
40,1.0,0.05,7.299100928236987e-05,0.6866030917746002,0.011117141706603165,1.439884931960342,0.0
41,1.0,0.05,8.37039113593696e-05,0.8799798413851914,0.010792961682722148,0.30820156173261454,0.0
42,1.0,0.05,9.315335234013833e-05,0.7319093865631512,0.009547021826281882,0.7099648747902647,0.0
43,1.0,0.05,9.58962322798484e-05,0.8464456857425908,0.01082871136813681,0.712772962913544,0.0
44,1.0,0.05,8.51543801597087e-05,0.7296901109827001,0.011317497506284975,0.5637812132681591,0.0
45,1.0,0.05,6.822909784021922e-05,0.9488534821793628,0.010673470412830786,0.8916772044660191,0.0
