,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat,MAP
b,1.0,0.0,0.0,1.0,1.0,,,
p_error,0.05000000819563866,7.450580596923828e-09,1.4901161193847657e-09,0.05000000074505806,0.05000000074505806,1.0007506866324938,0.9997499687421851,
v__0_0,4.511768793594795e-05,4.2527277710419925e-06,1.0575958855579928e-07,3.7533413152498136e-05,5.39377842222072e-05,1400.5950032268365,1.0016541593404984,4.4e-05
gamma__0_0,0.3142885297698819,0.16533208224935386,0.004307648606602313,0.029745475215136707,0.6525596312425233,1339.017667240892,1.0001330860206918,0.19
s__0_0,0.009661252477949505,0.0007373382991012736,1.6921438207719076e-05,0.008332891350634936,0.011194413222223155,1806.3891041380289,1.0006644547980557,0.009533
tau__0_0,1.4724300113365911,0.8365051762307966,0.027196221639209234,0.4521156363768971,3.3419110803649215,849.26223799106,1.0006926590158267,0.86
t0__0_0,0.0,0.0,0.0,0.0,0.0,,,
