,subject,rt,rt,rt,rt,rt,rt,rt,rt,best_chosen,gaze_influence,dataset
,,mean,std,min,max,se,q1,q3,iqr,mean,,
63,63,5591.02,2764.3892272254284,1640.0,14955.0,277.8315709456746,3636.75,7010.75,3374.0,0.53,0.5248493351217284,krajbich2011
64,64,2083.62,1040.4018625511972,711.0,5637.0,104.56432149300701,1288.25,2697.0,1408.75,0.63,0.42111300490152626,krajbich2011
65,65,1442.21,470.80170549818536,733.0,3044.0,47.31735175142072,1044.0,1792.75,748.75,0.65,0.4319672019319559,krajbich2011
66,66,2077.25,1088.7668839104172,839.0,6250.0,109.4251890331906,1359.0,2365.25,1006.25,0.87,0.13684236389700888,krajbich2011
67,67,2910.82,1288.9824155511196,983.0,6664.0,129.54760708330392,1938.75,3574.75,1636.0,0.77,0.21300123991118486,krajbich2011
68,68,1703.74,530.5530816044705,975.0,3548.0,53.32259100147995,1352.75,1877.75,525.0,0.68,0.31264172424333125,krajbich2011
69,69,7014.506944444444,2340.728824641448,2993.0,16068.0,195.74157771996997,5336.25,8233.5,2897.25,0.7430555555555556,0.26354180778265485,folke2016
70,70,6031.652777777777,2778.4593060809502,2225.0,15801.0,232.34643948400404,3714.0,7629.75,3915.75,0.5208333333333334,0.29035852881472474,folke2016
71,71,7577.430656934306,2824.8669002832016,2590.0,18519.0,242.23033830723685,5631.0,9121.0,3490.0,0.5328467153284672,0.3698230504469029,folke2016
72,72,4555.069444444444,2592.3594375608495,1838.0,23057.0,216.7839866726736,2877.25,5621.5,2744.25,0.8541666666666666,0.16756583226242697,folke2016
73,73,4402.694444444444,2427.3182884208804,1775.0,14029.0,202.98255244360485,2688.5,5273.75,2585.25,0.7222222222222222,0.31769810216956373,folke2016
74,74,4964.5874125874125,4846.801780669422,1863.0,44725.0,406.73457016969775,2912.0,5131.5,2219.5,0.6853146853146853,0.23185941208362393,folke2016
75,75,2812.1180555555557,1264.533996821929,1483.0,8947.0,105.745645122467,2047.75,2897.5,849.75,0.7083333333333334,0.2582454625431347,folke2016
76,76,3760.4305555555557,1268.6236124940563,2051.0,7913.0,106.08763596544863,2877.0,4502.75,1625.75,0.7152777777777778,0.22035580369349372,folke2016
77,77,5933.006944444444,4313.246169740964,1779.0,20700.0,360.691764663957,2960.75,6979.25,4018.5,0.875,0.1691077557983383,folke2016
78,78,6685.152777777777,2626.529526135,3181.0,18241.0,219.64143302781042,4540.75,8408.5,3867.75,0.5486111111111112,0.4458911759548516,folke2016
79,79,4972.770833333333,1951.5851204097803,2082.0,13263.0,163.19974637914046,3613.25,5989.0,2375.75,0.6458333333333334,0.3744309059337643,folke2016
80,80,6839.284722222223,3320.127107387762,2450.0,20453.0,277.64297657609706,4127.0,8655.5,4528.5,0.6041666666666666,0.47028074257202956,folke2016
81,81,3412.6338028169016,1657.012535244064,1279.0,9723.0,139.54562897870917,2089.0,4237.0,2148.0,0.4507042253521127,0.43408815217623986,folke2016
82,82,3930.3706293706296,1972.040311075815,1548.0,12344.0,165.48994668644275,2608.5,4810.0,2201.5,0.5664335664335665,0.5159375481461145,folke2016
83,83,7114.194444444444,2554.685736483327,2738.0,13963.0,213.63355352132626,5008.5,9060.5,4052.0,0.5972222222222222,0.4250925388547152,folke2016
84,84,4065.3680555555557,1390.8652270485763,1994.0,8871.0,116.309993311607,2938.5,4841.25,1902.75,0.5277777777777778,0.40360320891493356,folke2016
85,85,5282.097222222223,2082.0163047693973,2435.0,10984.0,174.10694995678963,3498.25,6627.0,3128.75,0.6458333333333334,0.3952170768607898,folke2016
86,86,4532.055944055944,2005.7010380943918,2249.0,11131.0,168.3146921485131,3098.5,5312.5,2214.0,0.7762237762237763,0.3783802993950085,folke2016
87,87,6042.75,3443.742919936259,1898.0,19958.0,287.9802501315185,3531.75,7291.5,3759.75,0.6527777777777778,0.3654967378714724,folke2016
88,88,6375.986111111111,3654.8349673680186,1881.0,22931.0,305.6326539356032,3469.25,8608.5,5139.25,0.8055555555555556,0.18385079578510846,folke2016
89,89,5883.777777777777,3244.4412706890853,1965.0,17575.0,271.3138089551,3483.75,7171.0,3687.25,0.5555555555555556,0.5618685027674799,folke2016
90,90,6077.854166666667,2904.7616223881964,2327.0,16918.0,242.90836976973637,3729.75,7458.25,3728.5,0.5625,0.4164139137312226,folke2016
91,91,4758.713286713287,2010.3554068501012,1927.0,13707.0,168.70527809795607,3324.0,5713.0,2389.0,0.45454545454545453,0.42644871519437866,folke2016
92,92,6909.25,5651.81447941475,2343.0,58867.0,472.62847004529704,3910.0,7985.75,4075.75,0.7638888888888888,0.30161337410141686,folke2016
93,93,1320.7878103837472,460.07094536047634,631.0,3913.0,12.624836715062486,1025.0,1447.0,422.0,0.8540255831452219,0.2519109265159928,tavares2017
94,94,1383.8330838323354,681.8751102667325,561.0,6429.0,18.662258695731833,961.0,1567.5,606.5,0.9011976047904192,0.09832320170241358,tavares2017
95,95,2117.9743008314435,1506.748845692485,652.0,12482.0,41.44051460987596,1178.0,2512.0,1334.0,0.8556311413454271,0.16378893559271088,tavares2017
96,96,1769.9608728367193,1385.6198217468962,433.0,12374.0,38.02288359027367,904.0,2134.0,1230.0,0.9691497366440933,0.08933709560128965,tavares2017
97,97,1494.2288072018005,959.0322521299839,519.0,9458.0,26.277321840557573,944.0,1650.0,706.0,0.8484621155288822,0.3744579607615902,tavares2017
98,98,1627.5514764565044,1292.4433031600631,567.0,15136.0,36.52660735183627,905.0,1825.0,920.0,0.8475658419792498,0.3066944344217856,tavares2017
99,99,2820.8812785388127,2404.841073469292,679.0,45894.0,66.36727983679891,1548.25,3354.0,1805.75,0.806697108066971,0.28001155847480935,tavares2017
100,100,2119.4013867488443,2123.7534750318673,445.0,22376.0,58.97040554314382,969.5,2440.5,1471.0,0.8613251155624037,0.22784393576891668,tavares2017
101,101,1396.961356466877,777.4203891334674,498.0,9638.0,21.84075358857465,941.75,1596.25,654.5,0.8840694006309149,0.06709688614802106,tavares2017
102,102,1448.0949126803341,1503.143593597552,437.0,17439.0,41.43549444410894,691.0,1557.0,866.0,0.9248291571753986,0.04196689856372993,tavares2017
103,103,1074.5700082850042,561.0851569066804,400.0,6602.0,16.156791703801478,712.5,1253.0,540.5,0.7937033968516984,0.2600929354467637,tavares2017
104,104,1393.2035928143712,805.1763208464109,552.0,13382.0,22.03689292814243,917.75,1568.0,650.25,0.9026946107784432,0.09885949587162314,tavares2017
105,105,1840.792894935752,1191.4400305404838,565.0,19666.0,32.768492329398335,1117.5,2161.0,1043.5,0.8994708994708994,0.11738560061566149,tavares2017
106,106,2450.7973291437547,2471.671381569342,593.0,32616.0,69.30222424251495,1211.0,2641.0,1430.0,0.8656716417910447,0.19724034998362808,tavares2017
107,107,2684.3515625,2842.379112397097,471.0,26955.0,79.47796355989055,1100.75,3131.25,2030.5,0.87109375,0.16722790057986836,tavares2017
108,108,1393.1357537490135,1451.0606839973093,373.0,21416.0,40.782018974025064,737.0,1448.0,711.0,0.8539857932123125,0.16742493536384895,tavares2017
109,109,1132.5295857988165,570.2207041940379,476.0,4804.0,17.91588472447167,762.25,1293.0,530.75,0.8560157790927022,0.22698887116302804,tavares2017
110,110,2799.972456006121,2313.287778926763,635.0,22941.0,64.01151042723525,1319.0,3393.0,2074.0,0.9112471308339709,0.13260865945735897,tavares2017
111,111,1438.6861861861862,1074.0889633641104,506.0,17604.0,29.44090977636812,878.75,1576.5,697.75,0.8641141141141141,0.2332317264042523,tavares2017
112,112,1708.7399403874813,1190.1259517808319,652.0,13163.0,32.499638971232066,1130.25,1751.75,621.5,0.7034277198211625,0.1501283711422158,tavares2017
113,113,2446.2820069204154,2368.8079503398353,554.0,18550.0,69.70097607242433,1067.0,2739.5,1672.5,0.8987889273356401,0.24087958709299295,tavares2017
114,114,3057.6715497301466,3253.649676515075,585.0,40290.0,90.3791576809743,1223.0,3751.0,2528.0,0.882035466461064,0.13530685216374128,tavares2017
115,115,1187.2768304914744,892.1914639919202,469.0,10029.0,28.270168342130816,753.0,1274.0,521.0,0.8676028084252758,0.3898992114670725,tavares2017
116,116,2717.587386018237,2839.887213468313,540.0,25083.0,78.31378526252648,1166.0,3022.0,1856.0,0.8708206686930091,0.33480509130816494,tavares2017
117,117,1405.5914307574599,757.7276280058179,519.0,6273.0,20.96725293020027,917.0,1630.0,713.0,0.791124713083397,0.12140730251712878,tavares2017
