,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat,MAP
b,1.0,0.0,0.0,1.0,1.0,,,
p_error,0.05000000819563866,7.450580596923828e-09,1.4901161193847657e-09,0.05000000074505806,0.05000000074505806,1.0007506866324938,0.9997499687421851,
v__0_0,8.788725385848283e-05,1.117407307298969e-05,3.4305342812488456e-07,6.83211019823387e-05,0.00011047505972534663,1041.123992408905,1.000499920104717,8.5e-05
gamma__0_0,0.1923465098747934,0.10886804678852813,0.002134754238289535,0.001488985327880004,0.3857212186267071,2423.1400843387414,1.0001314397972592,0.2
s__0_0,0.011425471057472077,0.0013028396143793801,3.661366224966865e-05,0.008868538206299473,0.013934019127175186,1256.5513073431252,0.9997565465660422,0.008784
tau__0_0,1.2240716148386452,0.9508763761136743,0.027549628459721587,0.21446187671413647,3.3971762706610953,1180.2384010573185,1.001266140950423,0.56
t0__0_0,0.0,0.0,0.0,0.0,0.0,,,
