,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat,MAP
b,1.0,0.0,0.0,1.0,1.0,,,
p_error,0.05000000447034836,3.725290298461914e-09,7.450580596923829e-10,0.05000000074505806,0.05000000074505806,1.0001503703406758,0.9999499987499374,
v__0_0,0.00015771139168627247,4.0845650633595e-06,2.046506231327796e-07,0.000149879181351738,0.00016526780369721265,350.89491893776574,1.000198612272964,0.000158
gamma__0_0,0.257069970250435,0.0726246938280169,0.0013999678265741822,0.11428157748656434,0.398086468576631,3105.6020936640393,0.9999815120153521,0.26
s__0_0,0.005629025661017126,0.0003714655842273786,9.246561444362653e-06,0.004929663513124121,0.006352031111722126,1373.8737867709037,1.0003232080758666,0.005666
tau__0_0,0.23870677318986486,0.029817549502186607,0.0011862494478057568,0.1845490884339277,0.3014544855639059,549.8733854021942,1.0000348292688108,0.23
t0__0_0,0.0,0.0,0.0,0.0,0.0,,,
