subject,trial,choice,rt,item_value_0,item_value_1,item_value_2,gaze_0,gaze_1,gaze_2,fixation_count,ndt,best_chosen,longest_chosen,value_left_minus_mean_others
0,0,1,1782,1,7,3,0.09686411149825784,0.7916376306620209,0.11149825783972125,4,347.0,True,True,-4.0
0,1,1,1063,7,3,2,0.17773788150807898,0.5008976660682226,0.3213644524236984,4,506.0,False,True,4.5
0,2,2,1171,3,1,2,0.5342237061769616,0.0,0.4657762938230384,3,572.0,False,False,1.5
0,3,0,1368,3,1,2,0.6266044340723453,0.0,0.3733955659276546,4,511.0,True,True,1.5
0,4,0,1476,6,1,3,0.34044823906083244,0.4887940234791889,0.17075773745997866,4,539.0,True,False,4.0
0,5,2,1394,3,1,2,0.2767094017094017,0.2126068376068376,0.5106837606837606,4,458.0,False,True,1.5
0,6,2,1482,3,1,7,0.17863554757630162,0.4829443447037702,0.3384201077199282,5,368.0,True,False,-1.0
0,7,2,1419,1,3,7,0.18469656992084432,0.3403693931398417,0.47493403693931396,4,661.0,True,True,-4.0
0,8,2,1393,1,2,7,0.21385902031063322,0.21505376344086022,0.5710872162485066,4,556.0,True,True,-3.5
0,9,1,1450,1,2,3,0.10061601642710473,0.7566735112936345,0.14271047227926079,4,476.0,False,True,-1.5
0,10,2,1341,3,1,6,0.1402805611222445,0.5991983967935872,0.2605210420841683,5,343.0,True,False,-0.5
0,11,1,1189,3,7,1,0.2948571428571429,0.27314285714285713,0.432,4,314.0,True,False,-1.0
0,12,1,1274,1,6,2,0.3612273361227336,0.3891213389121339,0.2496513249651325,3,557.0,True,True,-3.0
0,13,1,1437,2,3,1,0.34485738980121,0.13742437337942956,0.5177182368193605,4,280.0,True,False,0.0
0,14,1,864,1,3,6,0.0,0.5201612903225806,0.4798387096774194,2,368.0,False,True,-3.5
0,15,2,950,1,3,6,0.0,0.6775147928994083,0.3224852071005917,3,274.0,True,False,-3.5
0,16,2,1183,3,1,6,0.2855436081242533,0.21385902031063322,0.5005973715651135,5,346.0,True,True,-0.5
0,17,0,1408,3,1,2,0.5289473684210526,0.2618421052631579,0.20921052631578949,4,648.0,True,True,1.5
0,18,0,1047,3,6,1,0.2568149210903874,0.20086083213773315,0.5423242467718795,5,350.0,False,False,-0.5
0,19,2,993,2,1,3,0.36033519553072624,0.361731843575419,0.2779329608938548,4,277.0,True,False,0.0
0,20,0,1077,7,3,1,0.6253918495297806,0.37460815047021945,0.0,3,439.0,True,True,5.0
0,21,1,1084,1,7,3,0.31719745222929935,0.40382165605095544,0.2789808917197452,4,299.0,True,True,-4.0
0,22,0,1854,3,1,2,0.308584686774942,0.16937354988399073,0.5220417633410673,5,561.0,True,False,1.5
0,23,2,1446,3,7,6,0.22675521821631878,0.5664136622390892,0.20683111954459202,4,392.0,False,False,-3.5
0,24,2,1624,2,1,3,0.288265306122449,0.0,0.7117346938775511,3,448.0,True,True,0.0
0,25,2,1302,3,1,7,0.16614420062695925,0.45768025078369906,0.3761755485893417,5,345.0,True,False,-1.0
